Component,Domain,Theme,Template,Fitness,Prediction,Prediction Error,Accuracy,Numerosity,Avg Action Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Experience,Match Count
#,#,3.0,1.0,0.3272607890988679,0.0,0.0,1.0,1,7.64299776,316,0,0.3333333333333333,,12,125
#,2.0,3.0,3.0,0.33919735840259924,1000.0,0.0,1.0,2,16.903325303848664,480,0,0.6666666666666666,,82,125
#,#,3.0,0.0,0.8955741742885482,0.0,0.0,1.0,3,3.2882559999999996,436,0,0.3333333333333333,,13,125
0.0,#,#,2.0,0.3610614955108468,640.7796335234747,415.8233744020458,8.043693395278759e-10,5,5.999102733469188,476,0,0.3333333333333333,,78,500
#,2.0,2.0,0.0,0.6392023793939554,0.0,0.0,1.0,3,5.9983250431999995,477,1,0.6666666666666666,,14,125
#,2.0,#,1.0,0.32801140916497157,0.0,0.0,1.0,1,9.016637648901016,445,1,0.3333333333333333,,31,249
0.0,2.0,#,3.0,0.000435280073502747,972.7770858014565,85.94233267439206,2.132869646263265e-06,2,16.798600555420933,480,1,0.6666666666666666,,144,249
0.0,#,0.0,0.0,0.6665093765098523,1000.0,0.0,1.0,2,5.918726565693759,498,2,0.6666666666666666,,69,125
0.0,#,#,1.0,0.9793280877621955,799.4124701350208,314.8324211193958,3.2329780353459164e-09,8,7.941204807911955,478,2,0.3333333333333333,,122,498
0.0,0.0,#,3.0,0.6582149103493209,0.0,0.0,1.0,2,7.08978666504192,454,2,0.6666666666666666,,18,125
#,1.0,1.0,3.0,0.8857325867965822,0.0,0.0,1.0,1,5.051220738277376,415,3,0.6666666666666666,,19,125
#,1.0,1.0,0.0,0.331122556398584,0.0,0.0,1.0,5,11.659214662268827,467,3,0.6666666666666666,,23,125
#,2.0,#,3.0,0.0006530331912123219,972.7770858014504,85.9423326744096,2.1328696462610896e-06,4,16.798600555420997,480,29,0.3333333333333333,,139,234
#,0.0,#,3.0,0.32498215791598906,0.0,0.0,1.0,1,7.143387856896,454,34,0.3333333333333333,,16,116
0.0,0.0,0.0,0.0,0.3332543773885433,1000.0,0.0,1.0,1,5.918728527288051,498,42,1.0,,62,114
#,2.0,2.0,1.0,0.3278759903979755,0.0,0.0,1.0,1,8.459030899916801,445,53,0.6666666666666666,,17,111
0.0,2.0,2.0,1.0,0.32593238388948903,0.0,0.0,1.0,1,8.489954664448,445,65,1.0,,16,108
#,#,1.0,0.0,0.5022084509447835,0.0,0.0,1.0,6,11.680831940480205,467,75,0.3333333333333333,,20,106
0.0,#,#,3.0,0.00028490393527706985,770.1961206179028,341.0462017012095,2.167374276556318e-09,5,14.948242636399799,480,109,0.3333333333333333,,144,390
0.0,2.0,3.0,3.0,0.33919686997248233,1000.0,0.0,1.0,2,16.903326786079965,480,116,1.0,,64,95
#,1.0,#,0.0,0.10114053709938657,0.0,0.0,1.0,1,11.807495679999999,467,175,0.3333333333333333,,15,81
0.0,2.0,2.0,0.0,0.17786853492829854,0.0,0.0,1.0,1,6.4144,477,197,1.0,,8,75
#,#,3.0,2.0,0.876417416699737,0.0,0.0,1.0,2,6.12608,476,220,0.3333333333333333,,9,69
0.0,#,3.0,1.0,0.28610444273394975,0.0,0.0,1.0,2,9.5,316,284,0.6666666666666666,,4,53
0.0,#,#,0.0,1.243813694638562e-05,676.6194220616431,386.0416769611063,1.1663503724381531e-09,3,7.31012824486242,498,335,0.3333333333333333,,39,164
0.0,1.0,1.0,0.0,0.06538321126163121,0.0,0.0,1.0,1,13.2,467,387,1.0,,5,28
0.0,2.0,#,0.0,0.1798614827137251,0.0,0.0,1.0,2,8.25,477,393,0.6666666666666666,,4,52
#,2.0,2.0,3.0,0.4909480311769909,0.0,0.0,1.0,1,11.333333333333334,449,397,0.6666666666666666,,3,25
0.0,1.0,#,3.0,0.10120660797712404,0.0,0.0,1.0,1,7.0,415,415,0.6666666666666666,,1,21
#,#,3.0,3.0,0.32248460151257924,1000.0,0.0,1.0,2,17.0,480,424,0.3333333333333333,,15,18
#,2.0,#,2.0,0.6726027814727751,832.0640000000001,235.11039999999997,1.3920050094031496e-08,1,6.335872,476,425,0.3333333333333333,,16,36
